hour, t(sec), P1 (kW), Q1 (kvar)
0, 0.00000, 2429.78, 8014.45
0, 0.00000, 2450.02, 7962.61
0, 0.00000, 2470.48, 7909.64
0, 0.00000, 2491.15, 7855.57
0, 0.00000, 2512.07, 7800.3
0, 0.00000, 2533.31, 7743.59
0, 0.00000, 2554.77, 7685.75
0, 0.00000, 2576.46, 7626.67
0, 0.00000, 2598.47, 7566.14
0, 0.00000, 2620.73, 7504.32
0, 0.00000, 2643.26, 7441.13
0, 0.00000, 2666.06, 7376.6
0, 0.00000, 2689.17, 7310.54
0, 0.00000, 2712.58, 7242.99
0, 0.00000, 2736.26, 7174.01
0, 0.00000, 2760.24, 7103.51
0, 0.00000, 2784.53, 7031.45
0, 0.00000, 2809.1, 6957.87
0, 0.00000, 2834.02, 6882.59
0, 0.00000, 2859.24, 6805.69
0, 0.00000, 2884.79, 6727.11
0, 0.00000, 2910.66, 6646.8
0, 0.00000, 2936.88, 6564.72
0, 0.00000, 2963.44, 6480.84
0, 0.00000, 2990.32, 6395.22
0, 0.00000, 3017.58, 6307.63
0, 0.00000, 3045.17, 6218.24
0, 0.00000, 3073.14, 6126.82
0, 0.00000, 3101.47, 6033.46
0, 0.00000, 3130.18, 5938.03
0, 0.00000, 3159.28, 5840.53
0, 0.00000, 3188.76, 5740.93
0, 0.00000, 3218.65, 5639.14
0, 0.00000, 3248.91, 5535.23
0, 0.00000, 3279.6, 5428.99
0, 0.00000, 3310.68, 5320.53
0, 0.00000, 3342.22, 5209.62
0, 0.00000, 3374.17, 5096.35
0, 0.00000, 3406.54, 4980.69
0, 0.00000, 3439.38, 4862.43
0, 0.00000, 3472.66, 4741.69
0, 0.00000, 3506.39, 4618.33
0, 0.00000, 3540.6, 4492.26
0, 0.00000, 3575.29, 4363.48
0, 0.00000, 3610.45, 4231.93
0, 0.00000, 3646.1, 4097.53
0, 0.00000, 3682.26, 3960.25
0, 0.00000, 3718.92, 3819.97
0, 0.00000, 3756.11, 3676.64
0, 0.00000, 3793.88, 3530.24
0, 0.00000, 3832.24, 3380.79
0, 0.00000, 3871.16, 3228.07
0, 0.00000, 3910.65, 3071.96
0, 0.00000, 3950.75, 2912.51
0, 0.00000, 3991.5, 2749.71
0, 0.00000, 4032.92, 2583.33
0, 0.00000, 4074.95, 2413.32
0, 0.00000, 4117.6, 2239.59
0, 0.00000, 4160.86, 2062.14
0, 0.00000, 4204.97, 1880.69
0, 0.00000, 4249.87, 1695.42
0, 0.00000, 4295.44, 1506.04
0, 0.00000, 4341.7, 1312.5
0, 0.00000, 4388.68, 1114.63
0, 0.00000, 4436.44, 912.429
0, 0.00000, 4485.02, 705.618
0, 0.00000, 4535.33, 494.452
0, 0.00000, 4587.74, 277.951
0, 0.00000, 4640.9, 58.7288
0, 0.00000, 4695.87, -169.371
0, 0.00000, 4751.27, -400.825
0, 0.00000, 4807.54, -637.561
0, 0.00000, 4864.83, -880.262
0, 0.00000, 4923.07, -1128.69
0, 0.00000, 4983.28, -1383.39
0, 0.00000, 5045.53, -1644.54
0, 0.00000, 5109.66, -1912.26
0, 0.00000, 5174.84, -2186.78
0, 0.00000, 5241.14, -2468.02
0, 0.00000, 5308.61, -2756.31
0, 0.00000, 5377.75, -3052.14
0, 0.00000, 5446.54, -3354.37
0, 0.00000, 5516.48, -3664.1
0, 0.00000, 5587.58, -3981.26
0, 0.00000, 2100.53, 8709.07
0, 0.00000, 2117.15, 8672.9
0, 0.00000, 2133.84, 8636.24
0, 0.00000, 2150.73, 8598.73
0, 0.00000, 2167.79, 8560.36
0, 0.00000, 2185.07, 8521.02
0, 0.00000, 2202.52, 8480.85
0, 0.00000, 2220.22, 8439.59
0, 0.00000, 2238.07, 8397.53
0, 0.00000, 2256.15, 8354.41
0, 0.00000, 2274.47, 8310.25
0, 0.00000, 2293, 8265.06
0, 0.00000, 2311.73, 8218.86
0, 0.00000, 2330.66, 8171.68
0, 0.00000, 2349.88, 8123.25
0, 0.00000, 2369.31, 8073.75
0, 0.00000, 2388.95, 8023.18
0, 0.00000, 2408.83, 7971.45
0, 0.00000, 2428.94, 7918.58
0, 0.00000, 2449.31, 7864.46
0, 0.00000, 2469.93, 7809.13
0, 0.00000, 2490.78, 7752.61
0, 0.00000, 2511.93, 7694.68
0, 0.00000, 2533.33, 7635.5
0, 0.00000, 2554.94, 7575.11
0, 0.00000, 2576.86, 7513.3
0, 0.00000, 2599.05, 7450.09
0, 0.00000, 2621.49, 7385.55
0, 0.00000, 2644.26, 7319.45
0, 0.00000, 2667.27, 7251.98
0, 0.00000, 2690.61, 7182.94
0, 0.00000, 2714.2, 7112.5
0, 0.00000, 2738.13, 7040.36
0, 0.00000, 2762.35, 6966.7
0, 0.00000, 2786.87, 6891.45
0, 0.00000, 2811.69, 6814.56
0, 0.00000, 2836.87, 6735.88
0, 0.00000, 2862.35, 6655.58
0, 0.00000, 2888.15, 6573.5
0, 0.00000, 2914.3, 6489.62
0, 0.00000, 2940.79, 6403.89
0, 0.00000, 2967.62, 6316.3
0, 0.00000, 2994.8, 6226.81
0, 0.00000, 3022.34, 6135.41
0, 0.00000, 3050.24, 6041.97
0, 0.00000, 3078.53, 5946.48
0, 0.00000, 3107.19, 5848.93
0, 0.00000, 3136.21, 5749.31
0, 0.00000, 3165.66, 5647.42
0, 0.00000, 3195.46, 5543.45
0, 0.00000, 3225.7, 5437.1
0, 0.00000, 3256.32, 5328.56
0, 0.00000, 3287.39, 5217.54
0, 0.00000, 3318.85, 5104.21
0, 0.00000, 3350.76, 4988.38
0, 0.00000, 3383.09, 4870.12
0, 0.00000, 3415.89, 4749.2
0, 0.00000, 3449.14, 4625.67
0, 0.00000, 3482.82, 4499.55
0, 0.00000, 3516.99, 4370.66
0, 0.00000, 3551.66, 4238.89
0, 0.00000, 3586.79, 4104.34
0, 0.00000, 3622.41, 3966.9
0, 0.00000, 3658.56, 3826.41
0, 0.00000, 3695.19, 3682.98
0, 0.00000, 3732.44, 3536.37
0, 0.00000, 3770.26, 3386.68
0, 0.00000, 3808.6, 3233.8
0, 0.00000, 3847.51, 3077.53
0, 0.00000, 3887.05, 2917.85
0, 0.00000, 3927.25, 2754.74
0, 0.00000, 3968.08, 2588.12
0, 0.00000, 4009.51, 2417.85
0, 0.00000, 4051.55, 2243.88
0, 0.00000, 4094.22, 2066.07
0, 0.00000, 4137.73, 1884.4
0, 0.00000, 4182, 1698.8
0, 0.00000, 4226.93, 1509.11
0, 0.00000, 4272.57, 1315.13
0, 0.00000, 4318.91, 1116.93
0, 0.00000, 4366.02, 914.305
0, 0.00000, 4413.95, 707.133
0, 0.00000, 4463.85, 495.337
0, 0.00000, 4515.63, 278.781
0, 0.00000, 4568.4, 57.8123
0, 0.00000, 4622.27, -169.264
0, 0.00000, 4676.91, -401.22
0, 0.00000, 4732.6, -639.242
0, 0.00000, 4789.12, -882.541
0, 0.00000, 4846.58, -1131.54
0, 0.00000, 4906.21, -1386.91
0, 0.00000, 4968.02, -1648.7
0, 0.00000, 5031.33, -1917.28
0, 0.00000, 5095.67, -2192.63
0, 0.00000, 5161.11, -2474.71
0, 0.00000, 5227.81, -2763.88
0, 0.00000, 5295.92, -3060.46
0, 0.00000, 5363.81, -3363.71
0, 0.00000, 5432.84, -3674.31
0, 0.00000, 5503.06, -3992.53
0, 0.00000, 2064.26, 8717.39
0, 0.00000, 2080.55, 8681.38
0, 0.00000, 2096.98, 8644.74
0, 0.00000, 2113.61, 8607.23
0, 0.00000, 2130.4, 8568.85
0, 0.00000, 2147.37, 8529.63
0, 0.00000, 2164.56, 8489.43
0, 0.00000, 2181.95, 8448.26
0, 0.00000, 2199.53, 8406.15
0, 0.00000, 2217.37, 8362.96
0, 0.00000, 2235.37, 8318.86
0, 0.00000, 2253.54, 8273.85
0, 0.00000, 2272.02, 8227.55
0, 0.00000, 2290.65, 8180.39
0, 0.00000, 2309.56, 8131.97
0, 0.00000, 2328.64, 8082.59
0, 0.00000, 2347.97, 8032.01
0, 0.00000, 2367.51, 7980.38
0, 0.00000, 2387.32, 7927.46
0, 0.00000, 2407.39, 7873.28
0, 0.00000, 2427.66, 7818
0, 0.00000, 2448.21, 7761.4
0, 0.00000, 2468.97, 7703.63
0, 0.00000, 2490.02, 7644.46
0, 0.00000, 2511.34, 7583.95
0, 0.00000, 2532.87, 7522.25
0, 0.00000, 2554.72, 7459.02
0, 0.00000, 2576.82, 7394.43
0, 0.00000, 2599.2, 7328.41
0, 0.00000, 2621.87, 7260.87
0, 0.00000, 2644.82, 7191.88
0, 0.00000, 2668.06, 7121.36
0, 0.00000, 2691.61, 7049.24
0, 0.00000, 2715.44, 6975.58
0, 0.00000, 2739.56, 6900.34
0, 0.00000, 2764.03, 6823.33
0, 0.00000, 2788.78, 6744.75
0, 0.00000, 2813.85, 6664.42
0, 0.00000, 2839.29, 6582.21
0, 0.00000, 2865.03, 6498.3
0, 0.00000, 2891.1, 6412.55
0, 0.00000, 2917.52, 6324.92
0, 0.00000, 2944.27, 6235.41
0, 0.00000, 2971.4, 6143.89
0, 0.00000, 2998.86, 6050.44
0, 0.00000, 3026.69, 5954.95
0, 0.00000, 3054.92, 5857.31
0, 0.00000, 3083.52, 5757.53
0, 0.00000, 3112.48, 5655.7
0, 0.00000, 3141.83, 5551.62
0, 0.00000, 3171.61, 5445.2
0, 0.00000, 3201.77, 5336.54
0, 0.00000, 3232.36, 5225.45
0, 0.00000, 3263.35, 5112.02
0, 0.00000, 3294.76, 4996.16
0, 0.00000, 3326.63, 4877.66
0, 0.00000, 3358.91, 4756.69
0, 0.00000, 3391.64, 4633.11
0, 0.00000, 3424.84, 4506.8
0, 0.00000, 3458.5, 4377.75
0, 0.00000, 3492.63, 4245.88
0, 0.00000, 3527.23, 4111.22
0, 0.00000, 3562.33, 3973.58
0, 0.00000, 3597.94, 3832.91
0, 0.00000, 3634.04, 3689.25
0, 0.00000, 3670.75, 3542.49
0, 0.00000, 3708.01, 3392.62
0, 0.00000, 3745.8, 3239.48
0, 0.00000, 3784.15, 3082.97
0, 0.00000, 3823.09, 2923.15
0, 0.00000, 3862.71, 2759.85
0, 0.00000, 3902.95, 2592.96
0, 0.00000, 3943.79, 2422.4
0, 0.00000, 3985.23, 2248.1
0, 0.00000, 4027.29, 2069.96
0, 0.00000, 4070.19, 1888.11
0, 0.00000, 4113.83, 1702.14
0, 0.00000, 4158.15, 1512
0, 0.00000, 4203.1, 1317.83
0, 0.00000, 4248.83, 1119.11
0, 0.00000, 4295.25, 916.194
0, 0.00000, 4342.56, 708.538
0, 0.00000, 4391.93, 496.545
0, 0.00000, 4443.23, 279.333
0, 0.00000, 4495.51, 56.8908
0, 0.00000, 4548.53, -170.256
0, 0.00000, 4602.32, -402.344
0, 0.00000, 4657.18, -640.644
0, 0.00000, 4712.93, -884.499
0, 0.00000, 4769.77, -1134.23
0, 0.00000, 4828.7, -1390.3
0, 0.00000, 4890.06, -1652.97
0, 0.00000, 4952.53, -1922.41
0, 0.00000, 5015.96, -2198.29
0, 0.00000, 5080.56, -2481.28
0, 0.00000, 5146.69, -2771.55
0, 0.00000, 5213.56, -3068.89
0, 0.00000, 5280.51, -3372.87
0, 0.00000, 5348.66, -3684.55
0, 0.00000, 5417.96, -4003.77
0, 0.00000, 2027.85, 8725.79
0, 0.00000, 2043.95, 8689.67
0, 0.00000, 2060.06, 8653.18
0, 0.00000, 2076.42, 8615.66
0, 0.00000, 2092.9, 8577.41
0, 0.00000, 2109.61, 8538.16
0, 0.00000, 2126.53, 8497.92
0, 0.00000, 2143.61, 8456.84
0, 0.00000, 2160.89, 8414.8
0, 0.00000, 2178.41, 8371.68
0, 0.00000, 2196.11, 8327.63
0, 0.00000, 2214.02, 8282.52
0, 0.00000, 2232.15, 8236.38
0, 0.00000, 2250.52, 8189.09
0, 0.00000, 2269.08, 8140.8
0, 0.00000, 2287.86, 8091.41
0, 0.00000, 2306.9, 8040.79
0, 0.00000, 2326.13, 7989.12
0, 0.00000, 2345.6, 7936.27
0, 0.00000, 2365.33, 7882.15
0, 0.00000, 2385.3, 7826.79
0, 0.00000, 2405.46, 7770.35
0, 0.00000, 2425.93, 7712.46
0, 0.00000, 2446.64, 7653.3
0, 0.00000, 2467.58, 7592.9
0, 0.00000, 2488.81, 7531.04
0, 0.00000, 2510.27, 7467.9
0, 0.00000, 2532.03, 7403.26
0, 0.00000, 2554.03, 7337.29
0, 0.00000, 2576.32, 7269.8
0, 0.00000, 2598.93, 7200.71
0, 0.00000, 2621.79, 7130.2
0, 0.00000, 2644.95, 7058.08
0, 0.00000, 2668.4, 6984.42
0, 0.00000, 2692.14, 6909.15
0, 0.00000, 2716.22, 6832.11
0, 0.00000, 2740.58, 6753.49
0, 0.00000, 2765.25, 6673.12
0, 0.00000, 2790.26, 6590.97
0, 0.00000, 2815.59, 6507
0, 0.00000, 2841.26, 6421.18
0, 0.00000, 2867.23, 6333.61
0, 0.00000, 2893.56, 6244.04
0, 0.00000, 2920.27, 6152.46
0, 0.00000, 2947.29, 6058.96
0, 0.00000, 2974.71, 5963.33
0, 0.00000, 3002.48, 5865.68
0, 0.00000, 3030.62, 5765.89
0, 0.00000, 3059.15, 5663.88
0, 0.00000, 3088.04, 5559.75
0, 0.00000, 3117.33, 5453.31
0, 0.00000, 3147.05, 5344.48
0, 0.00000, 3177.14, 5233.36
0, 0.00000, 3207.64, 5119.87
0, 0.00000, 3238.58, 5003.82
0, 0.00000, 3269.93, 4885.31
0, 0.00000, 3301.72, 4764.23
0, 0.00000, 3333.95, 4640.47
0, 0.00000, 3366.65, 4513.99
0, 0.00000, 3399.79, 4384.82
0, 0.00000, 3433.38, 4252.88
0, 0.00000, 3467.48, 4117.96
0, 0.00000, 3502.05, 3980.15
0, 0.00000, 3537.08, 3839.42
0, 0.00000, 3572.65, 3695.5
0, 0.00000, 3608.81, 3548.64
0, 0.00000, 3645.5, 3398.56
0, 0.00000, 3682.72, 3245.22
0, 0.00000, 3720.5, 3088.46
0, 0.00000, 3758.89, 2928.35
0, 0.00000, 3797.92, 2764.88
0, 0.00000, 3837.55, 2597.76
0, 0.00000, 3877.79, 2426.89
0, 0.00000, 3918.61, 2252.36
0, 0.00000, 3960.05, 2073.92
0, 0.00000, 4002.36, 1891.74
0, 0.00000, 4045.36, 1705.49
0, 0.00000, 4089.03, 1515
0, 0.00000, 4133.35, 1320.37
0, 0.00000, 4178.39, 1121.45
0, 0.00000, 4224.18, 918.039
0, 0.00000, 4271.01, 710.087
0, 0.00000, 4319.83, 497.652
0, 0.00000, 4370.37, 280.293
0, 0.00000, 4422.23, 55.9641
0, 0.00000, 4474.07, -169.847
0, 0.00000, 4527.36, -403.572
0, 0.00000, 4581.36, -642.097
0, 0.00000, 4636.35, -886.639
0, 0.00000, 4692.56, -1136.92
0, 0.00000, 4751.1, -1393.8
0, 0.00000, 4811.63, -1657.23
0, 0.00000, 4873.21, -1927.37
0, 0.00000, 4935.8, -2204.15
0, 0.00000, 4999.52, -2487.94
0, 0.00000, 5065.01, -2779.08
0, 0.00000, 5130.62, -3077.15
0, 0.00000, 5196.7, -3382.2
0, 0.00000, 5263.91, -3694.7
0, 0.00000, 5332.26, -4014.98
0, 0.00000, 1991.38, 8734.15
0, 0.00000, 2007.22, 8698.04
0, 0.00000, 2023.07, 8661.55
0, 0.00000, 2039.11, 8624.16
0, 0.00000, 2055.33, 8585.89
0, 0.00000, 2071.78, 8546.61
0, 0.00000, 2088.39, 8506.46
0, 0.00000, 2105.22, 8465.33
0, 0.00000, 2122.18, 8423.36
0, 0.00000, 2139.4, 8380.29
0, 0.00000, 2156.79, 8336.28
0, 0.00000, 2174.46, 8291.06
0, 0.00000, 2192.28, 8244.94
0, 0.00000, 2210.3, 8197.78
0, 0.00000, 2228.56, 8149.48
0, 0.00000, 2247.04, 8100.06
0, 0.00000, 2265.73, 8049.54
0, 0.00000, 2284.62, 7997.95
0, 0.00000, 2303.79, 7945.03
0, 0.00000, 2323.17, 7890.96
0, 0.00000, 2342.81, 7835.63
0, 0.00000, 2362.68, 7779.07
0, 0.00000, 2382.76, 7721.32
0, 0.00000, 2403.13, 7662.15
0, 0.00000, 2423.73, 7601.72
0, 0.00000, 2444.58, 7539.95
0, 0.00000, 2465.71, 7476.74
0, 0.00000, 2487.09, 7412.15
0, 0.00000, 2508.76, 7346.1
0, 0.00000, 2530.67, 7278.63
0, 0.00000, 2552.9, 7209.54
0, 0.00000, 2575.38, 7139.03
0, 0.00000, 2598.17, 7066.89
0, 0.00000, 2621.24, 6993.2
0, 0.00000, 2644.59, 6917.89
0, 0.00000, 2668.25, 6840.91
0, 0.00000, 2692.23, 6762.22
0, 0.00000, 2716.48, 6681.89
0, 0.00000, 2741.09, 6599.65
0, 0.00000, 2766, 6515.71
0, 0.00000, 2791.23, 6429.92
0, 0.00000, 2816.83, 6342.14
0, 0.00000, 2842.72, 6252.59
0, 0.00000, 2869, 6160.91
0, 0.00000, 2895.6, 6067.33
0, 0.00000, 2922.55, 5971.73
0, 0.00000, 2949.87, 5874.01
0, 0.00000, 2977.55, 5774.18
0, 0.00000, 3005.61, 5672.14
0, 0.00000, 3034.05, 5567.91
0, 0.00000, 3062.9, 5461.31
0, 0.00000, 3092.09, 5352.55
0, 0.00000, 3121.73, 5241.26
0, 0.00000, 3151.75, 5127.66
0, 0.00000, 3182.18, 5011.56
0, 0.00000, 3213.05, 4892.88
0, 0.00000, 3244.35, 4771.63
0, 0.00000, 3276.06, 4647.8
0, 0.00000, 3308.24, 4521.19
0, 0.00000, 3340.85, 4391.92
0, 0.00000, 3373.94, 4259.77
0, 0.00000, 3407.48, 4124.79
0, 0.00000, 3441.5, 3986.84
0, 0.00000, 3476.01, 3845.84
0, 0.00000, 3511.01, 3701.85
0, 0.00000, 3546.63, 3554.76
0, 0.00000, 3582.76, 3404.45
0, 0.00000, 3619.41, 3250.89
0, 0.00000, 3656.6, 3093.95
0, 0.00000, 3694.41, 2933.64
0, 0.00000, 3732.87, 2769.85
0, 0.00000, 3771.88, 2602.53
0, 0.00000, 3811.5, 2431.43
0, 0.00000, 3851.71, 2256.58
0, 0.00000, 3892.53, 2077.88
0, 0.00000, 3934.22, 1895.42
0, 0.00000, 3976.59, 1708.76
0, 0.00000, 4019.58, 1518.04
0, 0.00000, 4063.26, 1322.97
0, 0.00000, 4107.64, 1123.71
0, 0.00000, 4152.8, 919.79
0, 0.00000, 4199.15, 711.443
0, 0.00000, 4247.41, 498.628
0, 0.00000, 4297.2, 280.944
0, 0.00000, 4347.8, 58.3593
0, 0.00000, 4399.46, -170.462
0, 0.00000, 4451.89, -404.355
0, 0.00000, 4505.14, -643.548
0, 0.00000, 4559.33, -888.623
0, 0.00000, 4614.94, -1139.71
0, 0.00000, 4673.06, -1397.4
0, 0.00000, 4732.75, -1661.55
0, 0.00000, 4793.42, -1932.38
0, 0.00000, 4855.13, -2209.91
0, 0.00000, 4918.06, -2494.6
0, 0.00000, 4982.85, -2786.81
0, 0.00000, 5047.17, -3085.43
0, 0.00000, 5112.33, -3391.4
0, 0.00000, 5178.62, -3704.93
0, 0.00000, 5246.01, -4026.22
0, 0.00000, 1954.84, 8742.46
0, 0.00000, 1970.36, 8706.5
0, 0.00000, 1985.95, 8670
0, 0.00000, 2001.73, 8632.6
0, 0.00000, 2017.69, 8594.3
0, 0.00000, 2033.83, 8555.12
0, 0.00000, 2050.13, 8515.06
0, 0.00000, 2066.7, 8473.86
0, 0.00000, 2083.36, 8431.96
0, 0.00000, 2100.32, 8388.79
0, 0.00000, 2117.41, 8344.82
0, 0.00000, 2134.72, 8299.76
0, 0.00000, 2152.24, 8253.64
0, 0.00000, 2169.97, 8206.48
0, 0.00000, 2187.93, 8158.16
0, 0.00000, 2206.06, 8108.84
0, 0.00000, 2224.46, 8058.26
0, 0.00000, 2243.05, 8006.6
0, 0.00000, 2261.88, 7953.74
0, 0.00000, 2280.93, 7899.7
0, 0.00000, 2300.18, 7844.53
0, 0.00000, 2319.71, 7787.98
0, 0.00000, 2339.5, 7730.08
0, 0.00000, 2359.5, 7671.01
0, 0.00000, 2379.76, 7610.53
0, 0.00000, 2400.24, 7548.83
0, 0.00000, 2421.03, 7485.55
0, 0.00000, 2442.04, 7421
0, 0.00000, 2463.33, 7354.97
0, 0.00000, 2484.87, 7287.5
0, 0.00000, 2506.73, 7218.4
0, 0.00000, 2528.84, 7147.86
0, 0.00000, 2551.21, 7075.8
0, 0.00000, 2573.91, 7002.05
0, 0.00000, 2596.89, 6926.67
0, 0.00000, 2620.14, 6849.73
0, 0.00000, 2643.69, 6771.07
0, 0.00000, 2667.56, 6690.63
0, 0.00000, 2691.76, 6608.4
0, 0.00000, 2716.27, 6524.33
0, 0.00000, 2741.08, 6438.53
0, 0.00000, 2766.24, 6350.73
0, 0.00000, 2791.73, 6261.05
0, 0.00000, 2817.54, 6169.47
0, 0.00000, 2843.72, 6075.76
0, 0.00000, 2870.21, 5980.15
0, 0.00000, 2897.09, 5882.33
0, 0.00000, 2924.33, 5782.41
0, 0.00000, 2951.93, 5680.3
0, 0.00000, 2979.89, 5576.02
0, 0.00000, 3008.25, 5469.4
0, 0.00000, 3036.99, 5360.47
0, 0.00000, 3066.13, 5249.14
0, 0.00000, 3095.65, 5135.46
0, 0.00000, 3125.59, 5019.25
0, 0.00000, 3155.97, 4900.45
0, 0.00000, 3186.74, 4779.15
0, 0.00000, 3217.97, 4655.1
0, 0.00000, 3249.6, 4528.47
0, 0.00000, 3281.71, 4398.96
0, 0.00000, 3314.26, 4266.69
0, 0.00000, 3347.27, 4131.51
0, 0.00000, 3380.73, 3993.46
0, 0.00000, 3414.7, 3852.29
0, 0.00000, 3449.16, 3708.12
0, 0.00000, 3484.21, 3560.82
0, 0.00000, 3519.76, 3410.39
0, 0.00000, 3555.83, 3256.59
0, 0.00000, 3592.44, 3099.46
0, 0.00000, 3629.66, 2938.95
0, 0.00000, 3667.52, 2774.94
0, 0.00000, 3705.94, 2607.3
0, 0.00000, 3744.94, 2435.94
0, 0.00000, 3784.51, 2260.85
0, 0.00000, 3824.73, 2081.85
0, 0.00000, 3865.79, 1899.06
0, 0.00000, 3907.5, 1712.08
0, 0.00000, 3949.83, 1521.03
0, 0.00000, 3992.84, 1325.68
0, 0.00000, 4036.56, 1125.96
0, 0.00000, 4081.04, 921.76
0, 0.00000, 4126.89, 713.053
0, 0.00000, 4174.6, 499.788
0, 0.00000, 4223.73, 281.296
0, 0.00000, 4273.76, 57.3661
0, 0.00000, 4324.4, -170.876
0, 0.00000, 4376.03, -405.195
0, 0.00000, 4428.49, -644.948
0, 0.00000, 4481.89, -890.646
0, 0.00000, 4537.07, -1142.63
0, 0.00000, 4594.52, -1400.79
0, 0.00000, 4653.37, -1665.82
0, 0.00000, 4713.13, -1937.32
0, 0.00000, 4773.98, -2215.76
0, 0.00000, 4836.26, -2501.31
0, 0.00000, 4900.04, -2794.39
0, 0.00000, 4963.22, -3093.87
0, 0.00000, 5027.42, -3400.64
0, 0.00000, 5092.77, -3715.12
0, 0.00000, 5159.21, -4037.52
0, 0.00000, 1918.24, 8750.72
