hour, t(sec), P1 (kW), Q1 (kvar)
0, 0.00000, -9395.34, -5431.42
0, 0.00000, -1680.54, 10771.3
0, 0.00000, -1838.89, 11090.5
0, 0.00000, -2014.21, 11421.1
0, 0.00000, -2351.22, 12500.1
0, 0.00000, -2612.48, 12949.8
0, 0.00000, -2833.04, 13041
0, 0.00000, -3093.04, 13083.2
0, 0.00000, -3379.28, 13069
0, 0.00000, -3703.47, 12980.1
0, 0.00000, -4070.54, 12791.4
0, 0.00000, -4487.61, 12475.9
0, 0.00000, -4963.92, 12001.7
0, 0.00000, -5527.02, 11361.2
0, 0.00000, -6181.73, 10467.6
0, 0.00000, -6944.34, 9243.45
0, 0.00000, -7807.93, 7564.59
0, 0.00000, -8763.75, 5315.9
0, 0.00000, -9818.75, 2396.64
0, 0.00000, -10972.2, -1293.64
0, 0.00000, -12202, -5859.67
0, 0.00000, -1981.68, 10865.2
0, 0.00000, -2170.33, 11195.6
0, 0.00000, -2379.44, 11539.8
0, 0.00000, -2788.05, 12676.1
0, 0.00000, -3105.51, 13161.1
0, 0.00000, -3372.53, 13273.3
0, 0.00000, -3686.95, 13337.2
0, 0.00000, -4035.5, 13346.8
0, 0.00000, -4431.65, 13283.2
0, 0.00000, -4882.22, 13120.6
0, 0.00000, -5396.85, 12830.9
0, 0.00000, -5991.41, 12388.3
0, 0.00000, -6701.79, 11781.2
0, 0.00000, -7530.42, 10905
0, 0.00000, -8502.66, 9678.94
0, 0.00000, -9597.03, 7951.37
0, 0.00000, -10832.5, 5619
0, 0.00000, -12215.8, 2552.65
0, 0.00000, -13754.2, -1387.22
0, 0.00000, -15419.9, -6332.39
0, 0.00000, -2289.19, 10950.1
0, 0.00000, -2505.69, 11292
0, 0.00000, -2749.62, 11649.1
0, 0.00000, -3234.5, 12845.6
0, 0.00000, -3612.07, 13367.2
0, 0.00000, -3927.84, 13500.8
0, 0.00000, -4300.04, 13586.7
0, 0.00000, -4714.82, 13620.8
0, 0.00000, -5188.18, 13583.4
0, 0.00000, -5728.8, 13448.2
0, 0.00000, -6349.4, 13186.1
0, 0.00000, -7079.08, 12786
0, 0.00000, -7949.73, 12207.2
0, 0.00000, -8977.22, 11355.8
0, 0.00000, -10181.2, 10123.6
0, 0.00000, -11544.5, 8354.67
0, 0.00000, -13103.9, 5937.3
0, 0.00000, -14884.4, 2716.91
0, 0.00000, -16895.5, -1488.04
0, 0.00000, -19109.5, -6855.08
0, 0.00000, -2596.12, 11028.1
0, 0.00000, -2844.27, 11379.4
0, 0.00000, -3123.43, 11748
0, 0.00000, -3688.37, 13008.7
0, 0.00000, -4130.01, 13568.4
0, 0.00000, -4497.84, 13722.7
0, 0.00000, -4930.98, 13830.9
0, 0.00000, -5416.17, 13889.8
0, 0.00000, -5971.72, 13879.4
0, 0.00000, -6609.2, 13772.6
0, 0.00000, -7346.04, 13542.7
0, 0.00000, -8225.18, 13187.9
0, 0.00000, -9272.92, 12639.9
0, 0.00000, -10522.1, 11815.2
0, 0.00000, -11976.4, 10571.2
0, 0.00000, -13652.3, 8770.36
0, 0.00000, -15593.8, 6272.08
0, 0.00000, -17848.8, 2892.22
0, 0.00000, -20437.1, -1595.57
0, 0.00000, -23340.8, -7432.46
0, 0.00000, -2907.4, 11096.6
0, 0.00000, -3185.04, 11457.2
0, 0.00000, -3497.32, 11837.3
0, 0.00000, -4152.69, 13162.3
0, 0.00000, -4659.67, 13762.6
0, 0.00000, -5081.83, 13938.1
0, 0.00000, -5579.05, 14068.6
0, 0.00000, -6138.22, 14152.6
0, 0.00000, -6781.26, 14169.7
0, 0.00000, -7522.13, 14092.3
0, 0.00000, -8384.27, 13896.5
0, 0.00000, -9426.69, 13588.4
0, 0.00000, -10669.8, 13075.8
0, 0.00000, -12161.9, 12277.9
0, 0.00000, -13896.4, 11026.7
0, 0.00000, -15926.3, 9197.88
0, 0.00000, -18314.1, 6622.24
0, 0.00000, -21133.8, 3078.07
0, 0.00000, -24423.8, -1713.1
0, 0.00000, -28191, -8071.26
0, 0.00000, -3215.99, 11157.7
0, 0.00000, -3527.21, 11525.1
0, 0.00000, -4086.98, 12568.7
0, 0.00000, -4621.63, 13308.4
0, 0.00000, -5199.94, 13949.4
0, 0.00000, -5686.67, 14141.5
0, 0.00000, -6242.66, 14298.6
0, 0.00000, -6879.84, 14407.8
0, 0.00000, -7615, 14452.7
0, 0.00000, -8465.49, 14405.4
0, 0.00000, -9464.31, 14248.1
0, 0.00000, -10681.4, 13985.2
0, 0.00000, -12138.9, 13512.2
0, 0.00000, -13893.5, 12739.9
0, 0.00000, -15941.7, 11488.9
0, 0.00000, -18369.4, 9635.37
0, 0.00000, -21275.6, 6988.68
0, 0.00000, -24758, 3276.06
0, 0.00000, -28898.6, -1844.48
0, 0.00000, -33743.8, -8776.97
0, 0.00000, -3527.24, 11208.8
0, 0.00000, -3869.68, 11582.6
0, 0.00000, -4495.69, 12665.5
0, 0.00000, -5098.17, 13444.4
0, 0.00000, -5749.52, 14128.1
0, 0.00000, -6295.33, 14340.3
0, 0.00000, -6920.4, 14519.8
0, 0.00000, -7639.2, 14654.2
0, 0.00000, -8470.93, 14726.9
0, 0.00000, -9437.06, 14710
0, 0.00000, -10587.1, 14600
0, 0.00000, -11986.5, 14376.2
0, 0.00000, -13678.2, 13946.6
0, 0.00000, -15707.4, 13193.4
0, 0.00000, -18105.5, 11951.9
0, 0.00000, -20983.7, 10081.3
0, 0.00000, -24481.5, 7366.82
0, 0.00000, -28742.3, 3483.03
0, 0.00000, -33908, -1985.74
0, 0.00000, -40087.4, -9553.11
0, 0.00000, -3839.08, 11249.9
0, 0.00000, -4211.83, 11629.8
0, 0.00000, -4906.01, 12751.8
0, 0.00000, -5578.42, 13570.9
0, 0.00000, -6306.76, 14299
0, 0.00000, -6914.38, 14529.7
0, 0.00000, -7610.95, 14731.2
0, 0.00000, -8414.1, 14890.1
0, 0.00000, -9346.76, 14990.5
0, 0.00000, -10434.7, 15004.1
0, 0.00000, -11745.3, 14942.5
0, 0.00000, -13339.6, 14759.3
0, 0.00000, -15280.3, 14372.9
0, 0.00000, -17604.8, 13639.5
0, 0.00000, -20385.9, 12413.4
0, 0.00000, -23766.3, 10531.8
0, 0.00000, -27934.7, 7754.49
0, 0.00000, -33096.1, 3700.94
0, 0.00000, -39476, -2128.57
0, 0.00000, -47309.4, -10394.9
0, 0.00000, -4066.79, 11263.9
0, 0.00000, -4552.11, 11665.8
0, 0.00000, -5318.15, 12826.6
0, 0.00000, -6062.23, 13687
0, 0.00000, -6872, 14459
0, 0.00000, -7541.64, 14708.5
0, 0.00000, -8312.07, 14931.3
0, 0.00000, -9202.32, 15114.3
0, 0.00000, -10239.8, 15241.9
0, 0.00000, -11456.2, 15288.1
0, 0.00000, -12934.3, 15272.1
0, 0.00000, -14734, 15129.8
0, 0.00000, -16936.1, 14784.7
0, 0.00000, -19574.3, 14076.6
0, 0.00000, -22770.4, 12871.9
0, 0.00000, -26708.6, 10982.7
0, 0.00000, -31629.8, 8148.35
0, 0.00000, -37824.2, 3927.08
0, 0.00000, -45644.8, -2285.34
0, 0.00000, -55499.5, -11318.4
0, 0.00000, -4789.94, 12154.2
0, 0.00000, -5231.43, 12513.7
0, 0.00000, -5982.19, 13459
0, 0.00000, -6549, 13791.8
0, 0.00000, -7442.33, 14608.4
0, 0.00000, -8175.92, 14875.9
0, 0.00000, -9021.61, 15119
0, 0.00000, -10001.8, 15325.4
0, 0.00000, -11146.6, 15476.9
0, 0.00000, -12496.2, 15557.4
0, 0.00000, -14149.2, 15585.9
0, 0.00000, -16164.4, 15484.3
0, 0.00000, -18639.1, 15179.5
0, 0.00000, -21612.3, 14498.8
0, 0.00000, -25253.1, 13317.4
0, 0.00000, -29798.9, 11428.5
0, 0.00000, -35552.3, 8544.76
0, 0.00000, -42920.8, 4157.81
0, 0.00000, -52423.7, -2451.49
0, 0.00000, -64719.1, -12311.1
0, 0.00000, -5126.68, 12196.6
0, 0.00000, -5602.88, 12559.7
0, 0.00000, -6423.15, 13542.1
0, 0.00000, -7035.76, 13885.3
0, 0.00000, -8016.73, 14746.5
0, 0.00000, -8815.48, 15030.9
0, 0.00000, -9737.83, 15293.3
0, 0.00000, -10809.5, 15521.8
0, 0.00000, -12064.5, 15698.3
0, 0.00000, -13551.4, 15810.5
0, 0.00000, -15383.9, 15880.8
0, 0.00000, -17623, 15820.1
0, 0.00000, -20375.5, 15550.4
0, 0.00000, -23702.9, 14901.6
0, 0.00000, -27818.2, 13747.4
0, 0.00000, -33013.1, 11875.2
0, 0.00000, -39683.9, 8936.92
0, 0.00000, -48359.3, 4387.45
0, 0.00000, -59802.7, -2622.55
0, 0.00000, -75010.4, -13371.6
0, 0.00000, -5467.16, 12226.1
0, 0.00000, -5971.78, 12594.9
0, 0.00000, -6863.68, 13615.2
0, 0.00000, -7521.7, 13966.5
0, 0.00000, -8593.45, 14872.4
0, 0.00000, -9457.63, 15172.5
0, 0.00000, -10458, 15453
0, 0.00000, -11622.4, 15699.4
0, 0.00000, -12989.7, 15902.4
0, 0.00000, -14620.1, 16048.4
0, 0.00000, -16631.5, 16151.5
0, 0.00000, -19101.3, 16132.7
0, 0.00000, -22136.5, 15894.7
0, 0.00000, -25831.9, 15279.3
0, 0.00000, -30447.2, 14155.7
0, 0.00000, -36334.5, 12297.7
0, 0.00000, -43985.1, 9320.91
0, 0.00000, -54107.2, 4617.49
0, 0.00000, -67734.9, -2795.66
0, 0.00000, -86378.3, -14488.9
0, 0.00000, -5797.4, 12250.1
0, 0.00000, -6337.28, 12619.3
0, 0.00000, -7302.58, 13676.3
0, 0.00000, -8005.89, 14035.3
0, 0.00000, -9171.07, 14985.6
0, 0.00000, -10101.4, 15300.1
0, 0.00000, -11179.6, 15597.1
0, 0.00000, -12437.5, 15862.3
0, 0.00000, -13918, 16087.4
0, 0.00000, -15695, 16266
0, 0.00000, -17887.8, 16401.6
0, 0.00000, -20590.2, 16419.3
0, 0.00000, -23911.9, 16210.5
0, 0.00000, -27985.9, 15628.1
0, 0.00000, -33116.7, 14536.3
0, 0.00000, -39725.6, 12694.6
0, 0.00000, -48416, 9687.38
0, 0.00000, -60090.7, 4840.92
0, 0.00000, -76155.2, -2973.46
0, 0.00000, -98734.1, -15633.2
0, 0.00000, -6445.17, 12976.8
0, 0.00000, -7085.05, 13369.8
0, 0.00000, -7739.47, 13726.4
0, 0.00000, -8486.65, 14091.3
0, 0.00000, -9747.64, 15085.3
0, 0.00000, -10743.9, 15412.6
0, 0.00000, -11900.2, 15724.5
0, 0.00000, -13252.1, 16006.8
0, 0.00000, -14845.8, 16251.9
0, 0.00000, -16769, 16459.8
0, 0.00000, -19143.6, 16624.7
0, 0.00000, -22079, 16675.1
0, 0.00000, -25688.1, 16493.2
0, 0.00000, -30145.3, 15943.1
0, 0.00000, -35800, 14882.7
0, 0.00000, -43150.2, 13059.2
0, 0.00000, -52919.6, 10028.6
0, 0.00000, -66233.9, 5054.77
0, 0.00000, -84914.8, -3133.26
0, 0.00000, -111912, -16784.6
